,Company,TypeName,Inches,Memory,Gpu,OperatingSystem,Weight,Price,ScreenWidth,ScreenHeight,CpuManufacturer,CpuSpeed,CpuModel,PrimaryStorageAmount,PrimaryStorageType,SecondaryStorageAmount,SecondaryStorageType
28,Dell,Ultrabook,15.6,8,Intel UHD Graphics 620,Windows 10,1.88,69157.44,1920,1080,Intel,1.9,Core i7,256.0,SSD,256.0,SSD
29,HP,Notebook,17.3,8,Nvidia GeForce 930MX,Windows 10,2.5,47738.88,1920,1080,Intel,1.6,Core i5,1000.0,HDD,0.0,None
30,Other,Notebook,15.6,4,Intel HD Graphics,Windows 10,1.89,13053.0672,1920,1080,Intel,1.44,Other,64.0,Flash Storage,0.0,None
31,Asus,Notebook,14.0,2,Other,Windows 10,1.65,10602.72,1366,768,AMD,1.5,Other,32.0,Flash Storage,0.0,None
32,HP,Notebook,17.3,4,AMD Radeon 530,Windows 10,2.71,23389.92,1920,1080,AMD,2.5,Other,500.0,HDD,0.0,None
33,Dell,Ultrabook,13.3,16,Intel UHD Graphics 620,Windows 10,1.2,99580.32,3200,1800,Intel,1.8,Core i7,512.0,SSD,0.0,None
34,Other,Ultrabook,13.3,8,Other,Other,1.35,53173.44,1440,900,Intel,1.6,Core i5,256.0,Flash Storage,0.0,None
35,Lenovo,Notebook,14.0,4,Intel HD Graphics 500,Windows 10,1.44,13266.72,1366,768,Intel,1.1,Celeron Dual,64.0,Flash Storage,0.0,None
36,Acer,Notebook,15.6,4,Intel HD Graphics 620,Linux,2.1,19553.76,1366,768,Intel,2.7,Core i3,1000.0,HDD,0.0,None
37,Dell,Notebook,17.3,8,AMD Radeon 530,Windows 10,2.8,52161.12,1920,1080,Intel,1.6,Core i5,128.0,SSD,1000.0,HDD
38,HP,Notebook,15.6,4,Intel HD Graphics 620,Windows 10,1.86,26037.4032,1366,768,Intel,2.5,Core i5,1000.0,HDD,0.0,None
39,HP,Notebook,15.6,8,Other,Windows 10,2.1,46833.12,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
40,Asus,Notebook,15.6,4,Intel HD Graphics 620,Linux,2,20725.92,1920,1080,Intel,2,Core i3,1000.0,HDD,0.0,None
41,Dell,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows 10,2.65,79866.72,1920,1080,Intel,2.8,Core i7,256.0,SSD,1000.0,HDD
42,Asus,Notebook,15.6,8,Nvidia GeForce 940MX,Linux,2.3,27864.9072,1366,768,Intel,2.5,Core i5,1000.0,HDD,0.0,None
43,Acer,Notebook,15.6,4,Intel UHD Graphics 620,Windows 10,2.2,36336.96,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
44,Dell,2 in 1 Convertible,17.3,12,Other,Windows 10,2.77,53226.72,1920,1080,Intel,1.6,Core i5,1000.0,HDD,0.0,None
45,Other,Ultrabook,13.3,8,Other,macOS,1.37,75604.31999999999,2560,1600,Intel,2.0,Core i5,256.0,SSD,0.0,None
46,Lenovo,Notebook,15.6,4,Intel HD Graphics 520,No OS,2.2,19660.32,1366,768,Intel,2,Core i3,128.0,SSD,0.0,None
47,Asus,Gaming,17.3,8,Other,Windows 10,3.2,69210.72,1920,1080,AMD,3,Other,256.0,SSD,1000.0,HDD
48,Dell,Notebook,15.6,4,AMD Radeon R5 M430,Windows 10,2.3,34045.92,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
49,Asus,Notebook,17.3,4,Other,Windows 10,2.8,24828.48,1366,768,Intel,1.1,Pentium Quad,1000.0,HDD,0.0,None
50,Lenovo,2 in 1 Convertible,10.1,4,Intel HD Graphics 400,Other,0.69,16996.32,1920,1200,Intel,1.44,Other,64.0,Flash Storage,0.0,None
51,Acer,Notebook,15.6,8,Nvidia GeForce MX150,Windows 10,2.2,44808.48,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
52,HP,Notebook,15.6,4,Other,Windows 10,1.86,21231.5472,1920,1080,AMD,2.5,Other,256.0,SSD,0.0,None
53,HP,Notebook,13.3,8,Intel UHD Graphics 620,Windows 10,1.49,58767.84,1920,1080,Intel,1.8,Core i7,512.0,SSD,0.0,None
54,Acer,Notebook,15.6,4,Intel HD Graphics 620,Windows 10,2.4,20459.52,1366,768,Intel,2.4,Core i3,1000.0,HDD,0.0,None
55,Dell,Notebook,15.6,8,AMD Radeon 520,Windows 10,2.13,40908.384,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
56,HP,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,1.91,23389.92,1920,1080,Intel,2,Core i3,128.0,SSD,0.0,None
57,Asus,Notebook,15.6,4,Intel HD Graphics 620,Windows 10,2,31232.203200000004,1366,768,Intel,2.5,Core i5,256.0,SSD,0.0,None
58,Other,Gaming,17.3,16,Nvidia GeForce GTX 1070,Windows 10,2.43,130482.72,1920,1080,Intel,2.8,Core i7,256.0,SSD,2000.0,HDD
59,Asus,Notebook,15.6,4,Intel HD Graphics 520,Linux,2,22111.2,1920,1080,Intel,2,Core i3,256.0,SSD,0.0,None
60,Dell,Notebook,17.3,16,AMD Radeon 530,Windows 10,2.8,69210.72,1920,1080,Intel,1.8,Core i7,256.0,SSD,2000.0,HDD
61,Dell,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows 10,1.7,46833.12,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
62,Lenovo,Notebook,14.0,8,Intel HD Graphics 620,No OS,1.7,31914.72,1920,1080,Intel,2.7,Core i3,256.0,SSD,0.0,None
63,Asus,Notebook,14.0,8,Intel UHD Graphics 620,Windows 10,1.4,50136.48,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
64,HP,Notebook,15.6,8,Intel HD Graphics 620,Windows 10,1.86,36763.2,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
65,Asus,Ultrabook,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,105654.24,1920,1080,Intel,2.8,Core i7,512.0,SSD,0.0,None
66,HP,Notebook,15.6,4,AMD Radeon 520,Windows 10,1.86,23373.4032,1366,768,Intel,2,Core i3,500.0,HDD,0.0,None
67,HP,Notebook,14.0,4,Intel HD Graphics 400,Windows 10,1.44,12201.12,1366,768,Intel,1.6,Celeron Dual,32.0,SSD,0.0,None
68,Lenovo,Notebook,15.6,4,Intel HD Graphics 620,Windows 10,1.9,29250.72,1920,1080,Intel,2.5,Core i5,1000.0,HDD,0.0,None
69,Asus,Gaming,17.3,12,Nvidia GeForce GTX 1050 Ti,Linux,3,50562.72,1920,1080,Intel,2.8,Core i7,1000.0,HDD,0.0,None
70,Other,Ultrabook,13.5,4,Intel HD Graphics 620,Other,1.252,58021.92,2256,1504,Intel,2.5,Core i5,128.0,SSD,0.0,None
71,Dell,Ultrabook,13.3,8,AMD Radeon 530,Windows 10,1.4,50882.4,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
72,Dell,Notebook,15.6,8,AMD Radeon 530,Windows 10,2.2,46353.6,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
73,Other,Gaming,17.3,8,Nvidia GeForce GTX 1050,Windows 10,2.7,58341.6,1920,1080,Intel,2.5,Core i5,128.0,SSD,1000.0,HDD
74,Acer,Notebook,14.0,8,Intel HD Graphics 520,Windows 10,2.1,20725.92,1366,768,Intel,2,Core i3,1000.0,HDD,0.0,None
75,Asus,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.2,50562.72,1920,1080,Intel,2.8,Core i7,1000.0,HDD,0.0,None
76,Lenovo,Notebook,15.6,8,Intel HD Graphics 620,No OS,2.2,27652.32,1920,1080,Intel,2.5,Core i5,2000.0,HDD,0.0,None
77,Dell,Notebook,15.6,8,Intel UHD Graphics 620,Windows 10,2.02,45554.4,1920,1080,Intel,1.8,Core i7,128.0,SSD,1000.0,HDD
78,Acer,Notebook,15.6,4,Other,Windows 10,2.2,28238.4,1920,1080,Intel,2.7,Core i3,1000.0,HDD,0.0,None
79,HP,Notebook,17.3,8,Nvidia GeForce 930MX,Windows 10,2.5,52054.56,1920,1080,Intel,1.6,Core i5,128.0,SSD,1000.0,HDD
80,Dell,Ultrabook,15.6,8,Intel UHD Graphics 620,Windows 10,1.88,58403.4048,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
81,Other,Ultrabook,12.0,8,Other,macOS,0.92,80452.8,2304,1440,Intel,1.3,Core i5,512.0,SSD,0.0,None
82,HP,Notebook,14.0,8,Intel HD Graphics 620,Windows 10,1.63,45820.8,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
83,Lenovo,Notebook,15.6,4,Other,Windows 10,2.2,21258.72,1920,1080,AMD,2.5,Other,128.0,SSD,0.0,None
84,Acer,Notebook,15.6,4,Other,Windows 10,2.1,21045.6,1366,768,AMD,3,A9-Series 9420,1000.0,HDD,0.0,None
85,Dell,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,71874.72,1920,1080,Intel,2.8,Core i7,128.0,SSD,1000.0,HDD
86,HP,Ultrabook,15.6,8,Other,Windows 10,1.83,37242.72,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
87,HP,Notebook,15.6,8,Intel HD Graphics 620,Windows 10,1.96,31914.1872,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
88,Asus,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows 10,2.2,77202.72,1920,1080,Intel,2.8,Core i7,128.0,SSD,1000.0,HDD
89,Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows 10,1.21,87858.72,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
90,Asus,Gaming,15.6,8,Other,Windows 10,2.45,37242.72,1920,1080,AMD,3,Other,1000.0,HDD,0.0,None
91,Acer,Notebook,15.6,8,Nvidia GeForce MX150,Windows 10,2.2,36709.92,1920,1080,Intel,1.8,Core i7,1000.0,HDD,0.0,None
92,HP,Notebook,13.3,16,Intel UHD Graphics 620,Windows 10,1.49,63776.16,1920,1080,Intel,1.8,Core i7,512.0,SSD,0.0,None
93,Dell,Gaming,15.6,8,Nvidia GeForce GTX 1060,Windows 10,2.65,63669.6,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
94,Asus,Ultrabook,14.0,8,Intel HD Graphics 620,Windows 10,1.25,55890.72,1920,1080,Intel,2.7,Core i7,256.0,SSD,0.0,None
95,Acer,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows 10,1.5,45128.16,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
96,Dell,Notebook,15.6,8,AMD Radeon R5 M430,Linux,2.2,31962.672,1920,1080,Intel,2.7,Core i7,1000.0,HDD,0.0,None
97,Dell,Notebook,15.6,4,AMD Radeon R5 M430,Linux,2.2,25840.8,1920,1080,Intel,2,Core i3,256.0,SSD,0.0,None
98,Asus,Notebook,15.6,6,Other,Windows 10,2,30742.56,1920,1080,Intel,2.4,Core i3,256.0,SSD,0.0,None
99,HP,Gaming,15.6,12,Nvidia GeForce GTX 1050,Windows 10,2.62,66546.72,1920,1080,Intel,2.8,Core i7,128.0,SSD,1000.0,HDD
100,HP,Notebook,15.6,8,AMD Radeon 530,Windows 10,1.91,38308.32,1920,1080,Intel,2.7,Core i7,256.0,SSD,0.0,None
101,HP,Notebook,15.6,4,Other,Windows 10,2.1,18594.72,1920,1080,AMD,1.5,Other,500.0,HDD,0.0,None
102,Dell,Notebook,15.6,8,AMD Radeon 520,Linux,2.2,34472.16,1920,1080,Intel,1.6,Core i5,1000.0,HDD,0.0,None
103,HP,Ultrabook,13.3,8,Nvidia GeForce MX150,Windows 10,1.38,59620.32,1920,1080,Intel,2.7,Core i7,256.0,SSD,0.0,None
104,Other,Ultrabook,13.5,8,Intel HD Graphics 620,Other,1.252,71395.2,2256,1504,Intel,2.5,Core i5,256.0,SSD,0.0,None
105,HP,Notebook,14.0,6,Nvidia GeForce 940MX,Windows 10,1.58,35111.52,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
106,Lenovo,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,1.85,22105.872,1920,1080,Intel,2,Core i3,1000.0,HDD,0.0,None
107,Asus,Ultrabook,14.0,8,Nvidia GeForce 940MX,Windows 10,1.3,63563.04,1920,1080,Intel,2.7,Core i7,256.0,SSD,0.0,None
108,Other,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,69210.72,1920,1080,Intel,2.8,Core i7,256.0,SSD,1000.0,HDD
109,Lenovo,Notebook,14.0,8,Intel HD Graphics 620,Windows 10,1.58,78854.4,1920,1080,Intel,2.7,Core i7,256.0,SSD,0.0,None
110,Asus,Ultrabook,15.6,16,Nvidia GeForce MX150,Windows 10,1.5,67239.36,1920,1080,Intel,1.8,Core i7,256.0,SSD,1000.0,HDD
111,Dell,Ultrabook,13.3,8,Other,Windows 10,1.23,73473.12,3200,1800,Intel,2.4,Core i7,256.0,SSD,0.0,None
112,Lenovo,2 in 1 Convertible,13.3,8,Intel HD Graphics 620,Windows 10,1.37,74538.72,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
113,HP,Notebook,14.0,4,Intel UHD Graphics 620,Windows 10,1.63,38468.16,1366,768,Intel,1.6,Core i5,500.0,HDD,0.0,None
114,Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows 10,1.21,86793.12,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
115,HP,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows 10,1.26,74538.1872,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
116,HP,Notebook,14.0,8,Intel UHD Graphics 620,Windows 10,1.63,57755.52,1920,1080,Intel,1.8,Core i7,512.0,SSD,0.0,None
117,Dell,Notebook,15.6,8,Nvidia GeForce 940MX,Windows 10,2.16,60223.98239999999,1920,1080,Intel,1.8,Core i7,256.0,SSD,1000.0,HDD
118,Asus,Notebook,17.3,4,Other,Windows 10,2,30049.92,1920,1080,Intel,2,Core i3,1000.0,HDD,0.0,None
119,Asus,Notebook,15.6,8,Nvidia GeForce 940MX,Windows 10,1.7,59567.04,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
120,Acer,Notebook,15.6,6,Intel HD Graphics 620,Windows 10,2.1,25521.12,1920,1080,Intel,2.4,Core i3,1000.0,HDD,0.0,None
121,Other,Gaming,15.6,16,Nvidia GeForce GTX 1070,Windows 10,1.8,119427.12,1920,1080,Intel,2.8,Core i7,256.0,SSD,2000.0,HDD
122,Lenovo,Notebook,15.6,8,Nvidia GeForce 940MX,No OS,2.2,33513.119999999995,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
123,HP,Notebook,17.3,16,Other,Windows 10,2.5,67718.88,1920,1080,Intel,1.8,Core i7,512.0,SSD,0.0,None
124,Acer,Notebook,15.6,4,Other,Windows 10,2.1,24029.28,1366,768,AMD,3,A9-Series 9420,256.0,SSD,0.0,None
125,HP,Notebook,15.6,4,Intel HD Graphics 400,No OS,1.86,13799.52,1366,768,Intel,1.6,Celeron Dual,500.0,HDD,0.0,None
126,HP,Notebook,14.0,8,Intel UHD Graphics 620,Windows 10,1.63,43263.36,1920,1080,Intel,1.6,Core i5,1000.0,HDD,0.0,None
127,Asus,Notebook,14.0,4,Other,Other,1.65,14811.3072,1366,768,AMD,1.5,Other,64.0,SSD,0.0,None
128,Dell,Notebook,17.3,16,AMD Radeon 530,Windows 10,2.8,74378.87999999999,1920,1080,Intel,1.8,Core i7,256.0,SSD,2000.0,HDD
129,HP,Notebook,17.3,8,Intel UHD Graphics 620,Windows 10,2.5,49443.84,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
130,Dell,Notebook,15.6,8,Other,Windows 10,2.36,34045.3872,1366,768,Intel,2.5,Core i5,1000.0,HDD,0.0,None
131,Dell,Notebook,15.6,4,AMD Radeon R5 M430,Windows 10,2.2,23922.72,1920,1080,Intel,2,Core i3,1000.0,HDD,0.0,None
132,Acer,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows 10,1.6,47099.52,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
133,Acer,Notebook,15.6,4,Other,Windows 10,2.2,30476.16,1920,1080,Intel,2.7,Core i3,256.0,SSD,0.0,None
134,HP,Notebook,15.6,8,Intel HD Graphics 620,Windows 10,2.05,31861.44,1366,768,Intel,2.7,Core i7,1000.0,HDD,0.0,None
135,HP,Notebook,14.0,8,Intel UHD Graphics 620,Windows 10,1.63,52640.64,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
136,Lenovo,Notebook,15.6,4,Intel HD Graphics 500,No OS,1.9,13445.7408,1366,768,Intel,1.1,Celeron Dual,1000.0,HDD,0.0,None
137,Asus,Gaming,17.3,8,Nvidia GeForce GTX 1050,Windows 10,3,49976.64,1920,1080,Intel,2.5,Core i5,128.0,SSD,1000.0,HDD
138,Lenovo,Notebook,15.6,4,Other,No OS,2.2,26586.72,1920,1080,Intel,2.5,Core i5,1000.0,HDD,0.0,None
139,HP,Notebook,13.3,4,Intel HD Graphics 620,Windows 10,1.32,37242.72,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
140,Acer,Notebook,17.3,4,Other,Windows 10,3,34898.4,1920,1080,Intel,2.7,Core i3,1000.0,HDD,0.0,None
141,Lenovo,Notebook,14.0,8,Other,Windows 10,1.75,59461.5456,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
142,Lenovo,Gaming,15.6,8,Other,No OS,2.4,46300.32,1920,1080,Intel,2.8,Core i7,256.0,SSD,0.0,None
143,Other,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,2.1,32074.56,1366,768,Intel,2.3,Core i5,500.0,HDD,0.0,None
144,HP,Notebook,15.6,4,Other,Windows 10,1.86,19660.32,1366,768,AMD,2.5,Other,256.0,SSD,0.0,None
145,Asus,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows 10,1.25,58554.72,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
146,HP,Ultrabook,12.5,8,Intel HD Graphics 515,Windows 10,0.97,107305.92,3840,2160,Intel,1.2,Core M,512.0,SSD,0.0,None
147,Asus,Notebook,15.6,4,Intel HD Graphics 500,Windows 10,2,18328.32,1920,1080,Intel,1.1,Celeron Dual,1000.0,HDD,0.0,None
148,Other,Gaming,17.3,16,Nvidia GeForce GTX 1070,Windows 10,2.9,108105.12,1920,1080,Intel,2.8,Core i7,256.0,SSD,1000.0,HDD
149,Acer,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,2.1,23816.16,1366,768,Intel,2,Core i3,1000.0,HDD,0.0,None
150,Dell,Gaming,15.6,16,Nvidia GeForce GTX 1050,Windows 10,2.56,66560.5728,1920,1080,Intel,2.8,Core i7,512.0,SSD,0.0,None
151,Dell,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.62,47898.72,1920,1080,Intel,2.8,Core i7,1000.0,Hybrid,0.0,None
152,Lenovo,Notebook,15.6,4,Intel HD Graphics 620,Windows 10,1.9,26533.44,1366,768,Intel,2.5,Core i5,128.0,SSD,0.0,None
153,Other,Gaming,17.3,16,Nvidia GeForce GTX 1060,Windows 10,2.8,100699.2,1920,1080,Intel,2.8,Core i7,256.0,SSD,1000.0,HDD
154,HP,Ultrabook,14.0,4,Intel HD Graphics 620,Windows 10,1.48,57648.96,1920,1080,Intel,2.7,Core i5,256.0,SSD,0.0,None
155,HP,Notebook,15.6,6,AMD Radeon 520,Windows 10,1.91,32980.32,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
156,Lenovo,2 in 1 Convertible,14.0,4,Intel HD Graphics 620,Windows 10,1.74,33513.119999999995,1920,1080,Intel,2.4,Core i3,256.0,SSD,0.0,None
157,Asus,2 in 1 Convertible,13.3,8,Intel HD Graphics 620,Windows 10,1.1,70063.2,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
158,Dell,2 in 1 Convertible,15.6,8,Intel UHD Graphics 620,Windows 10,1.56,55890.72,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
159,Other,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,2.1,23816.16,1366,768,Intel,2.2,Core i3,500.0,HDD,0.0,None
160,Asus,Notebook,15.6,4,Other,Windows 10,2.03,21471.84,1366,768,AMD,3,A9-Series 9420,1000.0,HDD,0.0,None
161,Acer,Notebook,17.3,4,Nvidia GeForce MX150,Windows 10,3,42890.4,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
162,Dell,Notebook,15.6,8,AMD Radeon 520,Windows 10,2.13,38787.84,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
163,Lenovo,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,57489.12,1920,1080,Intel,2.8,Core i7,256.0,SSD,0.0,None
164,Acer,Notebook,15.6,4,Intel HD Graphics 500,Windows 10,2.1,18541.44,1366,768,Intel,1.1,Celeron Dual,1000.0,HDD,0.0,None
165,Other,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows 10,2.4,95850.72,1920,1080,Intel,2.8,Core i7,256.0,SSD,1000.0,HDD
166,Acer,Notebook,15.6,4,Other,Windows 10,2.1,19367.8128,1366,768,Intel,1.1,Pentium Quad,1000.0,HDD,0.0,None
167,Dell,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.56,56502.9072,1920,1080,Intel,2.8,Core i7,128.0,SSD,1000.0,HDD
168,Acer,Notebook,17.3,8,Nvidia GeForce MX150,Windows 10,3,45501.12,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
169,HP,Notebook,13.3,4,Intel UHD Graphics 620,Windows 10,1.49,40173.12,1920,1080,Intel,1.6,Core i5,500.0,HDD,0.0,None
170,Other,Ultrabook,13.0,8,Intel HD Graphics 620,Windows 10,1.05,71874.72,2160,1440,Intel,2.5,Core i5,256.0,SSD,0.0,None
171,HP,Notebook,17.3,6,AMD Radeon 520,Windows 10,2.71,37242.72,1920,1080,Intel,2.5,Core i5,2000.0,HDD,0.0,None
172,Lenovo,Notebook,15.6,4,Other,No OS,2.2,16463.52,1366,768,AMD,2.9,Other,500.0,HDD,0.0,None
173,Other,Notebook,15.6,4,Intel HD Graphics 620,Windows 10,2,26053.92,1366,768,Intel,2.4,Core i3,500.0,HDD,0.0,None
174,HP,Notebook,17.3,8,Nvidia GeForce 930MX,Windows 10,2.5,49177.44,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
175,Dell,Notebook,15.6,8,Intel HD Graphics 620,Windows 10,2.3,24455.52,1366,768,Intel,2.4,Core i3,1000.0,HDD,0.0,None
176,Acer,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,2.1,23922.72,1366,768,Intel,2,Core i3,128.0,SSD,0.0,None
177,Other,Gaming,18.4,32,Other,Windows 10,4.4,149130.72,1920,1080,Intel,2.9,Core i7,512.0,SSD,1000.0,HDD
178,Lenovo,Notebook,15.6,8,Other,Windows 10,1.90,43316.64,1920,1080,Intel,2.5,Core i5,128.0,SSD,1000.0,HDD
179,HP,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows 10,1.29,79866.72,3840,2160,Intel,1.6,Core i5,256.0,SSD,0.0,None
